DlangUI log file
2026-03-05 11:51:45.298 I  Log level changed to Trace
2026-03-05 11:51:45.314 I  Logger is initialized
2026-03-05 11:51:45.315 D  myWinMain()
2026-03-05 11:51:45.322 I  Current executable: C:\Users\user\Documents\D\FlagD\
2026-03-05 11:51:45.322 I  Command line: C:\Users\user\Documents\D\FlagD\flagd.exe
2026-03-05 11:51:45.322 I  Command line params: ["C:\\Users\\user\\Documents\\D\\FlagD\\flagd.exe", "C:\\Users\\user\\Documents\\D\\FlagD\\flagd.exe"]
2026-03-05 11:51:45.323 V  Creating platform
2026-03-05 11:51:45.323 V  Registering window class
2026-03-05 11:51:45.334 V  Initializing font manager
2026-03-05 11:51:45.334 I  Creating Win32FontManager
2026-03-05 11:51:45.334 I  Win32FontManager.initialize()
2026-03-05 11:51:45.337 D  registerFont(SansSerif,Marlett)
2026-03-05 11:51:45.339 D  registerFont(SansSerif,Arial)
2026-03-05 11:51:45.339 D  registerFont(SansSerif,Arial)
2026-03-05 11:51:45.340 D  registerFont(SansSerif,Arial)
2026-03-05 11:51:45.340 D  registerFont(SansSerif,Arial)
2026-03-05 11:51:45.340 D  registerFont(SansSerif,Arial)
2026-03-05 11:51:45.340 D  registerFont(SansSerif,Arial)
2026-03-05 11:51:45.340 D  registerFont(SansSerif,Arial)
2026-03-05 11:51:45.340 D  registerFont(SansSerif,Arial)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Arial)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Arial Black)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Arial Black)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Arial Black)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Arial Black)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Arial Black)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Arial Black)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-05 11:51:45.341 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift)
2026-03-05 11:51:45.342 D  registerFont(SansSerif,Bahnschrift)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-05 11:51:45.343 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
